SYMBOL,NAME OF COMPANY,SERIES,FACE VALUE,PAID UP VALUE,MKT LOT,IP RATE,DATE OF LISTING,DATE OF ALLOTMENT,REDEMPTION DATE,REDEMPTION AMT,CONVERSION DATE,CONVERSION AMT,INTEREST PAYMENT DT
Indian Railway Finance Corporation Limited,N0,100000.0,51780.0,1,,03-DEC-2025,,01-DEC-2035,,,,,INE053F08536
Motilal Oswal Financial Services Limited,N3,1000.0,1000.0,1,,13-MAY-2024,,09-MAY-2027,,,,,INE338I07099
National Highways Infra Trust,N0,100000.0,51058.0,1,0.0,01-FEB-2025,,30-JAN-2034,,,,,INE0H7R07066
National Highways Infra Trust,N0,100000.0,47382.0,1,0.0,01-FEB-2025,,30-JAN-2035,,,,,INE0H7R07058
REC Limited,N0,100000.0,54250.0,1,,07-OCT-2024,,03-NOV-2034,,,,,INE020B08FJ3
Sammaan Capital Limited,YW,1000.0,1000.0,1,,28-MAR-2024,,26-MAR-2027,,,,,INE148I07SK0
IIFL Samasta Finance Limited,NC,1000.0,1000.0,1,10.03,25-JUN-2024,,21-JUN-2029,,,,,INE413U07301
IIFL Samasta Finance Limited,N4,1000.0,1000.0,1,10.03,26-DEC-2023,,21-DEC-2028,,,,,INE413U07269
Sammaan Capital Limited,Z4,1000.0,1000.0,1,10.03,28-MAR-2024,,26-MAR-2031,,,,,INE148I07SX3
Sammaan Capital Limited,NV,714.28,714.28,1,10.03,13-NOV-2023,,09-NOV-2030,,,,,INE148I07QX7
Sammaan Capital Limited,ZQ,1000.0,1000.0,1,10.03,04-JUN-2024,,31-MAY-2031,,,,,INE148I07TW3
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.03,27-SEP-2024,,25-SEP-2031,,,,,INE148I07UR1
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.03,31-DEC-2024,,27-DEC-2031,,,,,INE148I07VA5
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.03,21-MAR-2025,,19-MAR-2032,,,,,INE148I07WM8
Sammaan Finserve Limited,NX,400.0,400.0,1,10.5,27-APR-2023,,25-APR-2028,,,,,INE244L07556
Profectus Capital Private Limited,N0,62500.0,62500.0,1,10.16,24-JUL-2024,,16-JUL-2027,,,,,INE389Z07054
ECL Finance Limited,NR,1000.0,1000.0,1,10.15,08-JAN-2019,,04-JAN-2029,,,,,INE804IA7014
Sammaan Capital Limited,YY,1000.0,1000.0,1,10.15,28-MAR-2024,,26-MAR-2029,,,,,INE148I07SS3
Sammaan Capital Limited,NR,600.0,600.0,1,10.15,13-NOV-2023,,09-NOV-2028,,,,,INE148I07QR9
Sammaan Capital Limited,ZL,1000.0,1000.0,1,10.15,04-JUN-2024,,31-MAY-2029,,,,,INE148I07TR3
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.15,27-SEP-2024,,25-SEP-2029,,,,,INE148I07UK6
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.15,31-DEC-2024,,27-DEC-2029,,,,,INE148I07VO6
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.15,21-MAR-2025,,19-MAR-2030,,,,,INE148I07WT3
Ugro Capital Limited,NF,1000.0,1000.0,1,10.15,28-APR-2025,,24-APR-2027,,,,,INE583D07604
Clix Capital Services Private Limited,N0,100000.0,100000.0,1,10.2,22-NOV-2024,,18-MAR-2027,,,,,INE157D07EJ4
IIFL Finance Limited,Y3,1000.0,1000.0,1,10.25,23-APR-2025,,21-APR-2030,,,,,INE530B07492
Patel Engineering Limited,N0,100000.0,100000.0,1,10.25,01-SEP-2025,,25-AUG-2028,,,,,INE244B07243
Sammaan Capital Limited,Z5,1000.0,1000.0,1,10.25,28-MAR-2024,,26-MAR-2034,,,,,INE148I07SV7
Sammaan Capital Limited,YJ,1000.0,1000.0,1,10.25,29-DEC-2023,,27-DEC-2033,,,,,INE148I07RV9
Sammaan Capital Limited,N1,800.0,800.0,1,10.25,28-SEP-2023,,26-SEP-2033,,,,,INE148I07PP5
Sammaan Capital Limited,Z8,1000.0,1000.0,1,10.25,28-MAR-2024,,26-MAR-2034,,,,,INE148I07SQ7
Sammaan Capital Limited,ZT,1000.0,1000.0,1,10.25,04-JUN-2024,,31-MAY-2034,,,,,INE148I07TN2
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.25,27-SEP-2024,,25-SEP-2034,,,,,INE148I07UV3
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.25,27-SEP-2024,,25-SEP-2034,,,,,INE148I07UT7
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.25,31-DEC-2024,,27-DEC-2034,,,,,INE148I07VM0
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.25,31-DEC-2024,,27-DEC-2034,,,,,INE148I07VI8
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.03,21-MAR-2025,,19-MAR-2032,,,,,INE148I07WS5
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.25,21-MAR-2025,,19-MAR-2035,,,,,INE148I07VZ2
Ugro Capital Limited,N1,1000.0,1000.0,1,10.25,28-OCT-2024,,24-OCT-2026,,,,,INE583D07521
Ugro Capital Limited,NG,1000.0,1000.0,1,10.25,28-APR-2025,,24-OCT-2027,,,,,INE583D07588
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,10.25,04-AUG-2025,,31-JUL-2028,,,,,INE04HY07294
Clix Capital Services Private Limited,N0,44444.44,44444.44,1,10.2,01-JAN-2025,,28-FEB-2027,,,,,INE157D07EK2
Sammaan Finserve Limited,NM,400.0,400.0,1,10.3,06-FEB-2023,,02-FEB-2028,,,,,INE244L07283
Clix Capital Services Private Limited,N2,20000.0,20000.0,1,10.35,03-APR-2024,,28-SEP-2026,,,,,INE157D07EH8
Clix Capital Services Private Limited,N3,33333.33,33333.33,1,10.35,26-APR-2024,,24-APR-2027,,,,,INE157D07EI6
Ugro Capital Limited,NE,1000.0,1000.0,1,10.39,28-APR-2025,,24-OCT-2026,,,,,INE583D07570
Navi Finserv Limited,,1000.0,1000.0,1,10.4,18-MAR-2024,,13-JUN-2026,,,,,INE342T07437
Ugro Capital Limited,N1,1000.0,1000.0,1,10.4,28-OCT-2024,,24-APR-2027,,,,,INE583D07513
IIFL Samasta Finance Limited,ND,1000.0,1000.0,1,10.5,25-JUN-2024,,21-JUN-2029,,,,,INE413U07319
IIFL Samasta Finance Limited,N5,1000.0,1000.0,1,10.5,26-DEC-2023,,21-DEC-2028,,,,,INE413U07251
Navi Finserv Limited,N7,1000.0,1000.0,1,10.5,21-JUL-2023,,18-JUL-2026,,,,,INE342T07387
Sammaan Capital Limited,Z2,1000.0,1000.0,1,10.5,28-MAR-2024,,26-MAR-2031,,,,,INE148I07SM6
Sammaan Capital Limited,NU,714.28,714.28,1,10.5,13-NOV-2023,,09-NOV-2030,,,,,INE148I07QV1
Sammaan Capital Limited,ZP,1000.0,1000.0,1,10.5,04-JUN-2024,,31-MAY-2031,,,,,INE148I07TK8
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.5,27-SEP-2024,,25-SEP-2031,,,,,INE148I07UP5
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.5,31-DEC-2024,,27-DEC-2031,,,,,INE148I07VD9
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.5,21-MAR-2025,,19-MAR-2032,,,,,INE148I07WX5
Ugro Capital Limited,NH,1000.0,1000.0,1,10.5,28-APR-2025,,24-OCT-2028,,,,,INE583D07596
IIFL Finance Limited,N7,1000.0,1000.0,1,10.5,22-JUN-2020,,07-FEB-2029,,,,,INE866I08295
ECL Finance Limited,NS,1000.0,1000.0,1,10.6,08-JAN-2019,,04-JAN-2029,,,,,INE804IA7022
Navi Finserv Limited,NC,1000.0,1000.0,1,10.65,18-MAR-2024,,13-MAR-2027,,,,,INE342T07460
Sammaan Capital Limited,Z6,1000.0,1000.0,1,10.75,28-MAR-2024,,26-MAR-2034,,,,,INE148I07SR5
Sammaan Capital Limited,YK,1000.0,1000.0,1,10.75,29-DEC-2023,,27-DEC-2033,,,,,INE148I07RW7
Sammaan Capital Limited,N2,800.0,800.0,1,10.75,28-SEP-2023,,26-SEP-2033,,,,,INE148I07PT7
Sammaan Capital Limited,NW,800.0,800.0,1,10.25,13-NOV-2023,,09-NOV-2033,,,,,INE148I07QY5
Sammaan Capital Limited,ZR,1000.0,1000.0,1,10.75,04-JUN-2024,,31-MAY-2034,,,,,INE148I07TP7
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.75,27-SEP-2024,,25-SEP-2034,,,,,INE148I07UW1
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.75,31-DEC-2024,,27-DEC-2034,,,,,INE148I07VE7
Sammaan Capital Limited,N1,1000.0,1000.0,1,10.75,21-MAR-2025,,19-MAR-2035,,,,,INE148I07WR7
Western Capital Advisors Private Limited,N0,10000.0,10000.0,1,10.75,03-OCT-2025,,01-OCT-2028,,,,,INE0A3007065
Western Capital Advisors Private Limited,N0,100000.0,100000.0,1,10.75,04-SEP-2025,,01-SEP-2028,,,,,INE0A3007057
IIFL Samasta Finance Limited,N7,100000.0,100000.0,1,10.77,12-MAR-2024,,07-FEB-2030,,,,,INE413U08127
Navi Finserv Limited,NB,1000.0,1000.0,1,10.9,18-MAR-2024,,13-JUN-2026,,,,,INE342T07452
Gaursons India Private Limited,N0,100000.0,100000.0,1,10.96,31-DEC-2025,,26-DEC-2028,,,,,INE1BEC07011
CREDITACCESS GRAMEEN LIMITED,N5,1000.0,1000.0,1,10.0,25-NOV-2022,,23-NOV-2027,,,,,INE741K07496
IIFL Samasta Finance Limited,N0,4166.59,4166.59,1,10.0,03-JUL-2024,,28-JUN-2026,,,,,INE413U08135
IIFL Home Finance Limited,N4,1000.0,1000.0,1,10.0,05-AUG-2021,,03-NOV-2028,,,,,INE477L08147
IIFL Finance Limited,NE,1000.0,1000.0,1,10.0,25-MAR-2021,,24-JUN-2028,,,,,INE530B08094
IIFL Finance Limited,N6,1000.0,1000.0,1,10.0,22-JUN-2020,,07-FEB-2029,,,,,INE866I08279
IIFL Samasta Finance Limited,NB,1000.0,1000.0,1,10.0,25-JUN-2024,,21-JUN-2027,,,,,INE413U07293
IIFL Samasta Finance Limited,N3,1000.0,1000.0,1,10.0,26-DEC-2023,,21-DEC-2026,,,,,INE413U07277
Mangalam Worldwide Limited,N0,100000.0,100000.0,1,10.0,04-MAY-2026,,28-APR-2029,,,,,INE0JYY07026
Nido Home Finance Limited,N6,1000.0,1000.0,1,10.0,22-JUL-2016,,19-JUL-2026,,,,,INE530L07228
Sammaan Capital Limited,Z1,1000.0,1000.0,1,10.0,28-MAR-2024,,26-MAR-2031,,,,,INE148I07SU9
Sammaan Capital Limited,ZO,1000.0,1000.0,1,10.0,04-JUN-2024,,31-MAY-2031,,,,,INE148I07TO0
Ugro Capital Limited,ND,1000.0,1000.0,1,10.0,28-APR-2025,,24-OCT-2026,,,,,INE583D07562
Navi Finserv Limited,N8,1000.0,1000.0,1,11.02,21-JUL-2023,,18-JUL-2026,,,,,INE342T07403
Ambium Finserve Limited,N0,10000.0,10000.0,1,11.16,13-MAY-2026,,05-DEC-2027,,,,,INE0RU307254
Navi Finserv Limited,ND,1000.0,1000.0,1,11.19,18-MAR-2024,,13-MAR-2027,,,,,INE342T07445
ESAF Small Finance Bank Limited,N0,100000.0,100000.0,1,11.1,21-JUL-2025,,17-JUL-2031,,,,,INE818W08131
Akme Fintrade (India) Limited,N0,10000.0,10000.0,1,11.25,22-APR-2026,,20-APR-2029,,,,,INE916Y07081
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.25,01-DEC-2025,,27-NOV-2027,,,,,INE04HY07351
ESAF Small Finance Bank Limited,N0,100000.0,100000.0,1,11.3,19-AUG-2025,,14-MAY-2031,,,,,INE818W08149
ESAF Small Finance Bank Limited,N0,100000.0,100000.0,1,11.3,12-NOV-2025,,10-AUG-2031,,,,,INE818W08156
Akme Fintrade (India) Limited,N0,10000.0,10000.0,1,11.5,26-DEC-2025,,22-DEC-2028,,,,,INE916Y07065
Akme Fintrade (India) Limited,N0,10000.0,10000.0,1,11.5,22-JAN-2026,,19-JAN-2029,,,,,INE916Y07073
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.5,25-JUL-2025,,23-JAN-2027,,,,,INE04HY07286
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.5,01-DEC-2025,,27-MAY-2028,,,,,INE04HY07377
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.5,24-DEC-2025,,22-APR-2028,,,,,INE04HY07385
Vedika Credit Capital Limited,N0,100000.0,96000.0,1,11.5,30-MAR-2026,,25-MAR-2031,,,,,INE04HY07393
Vedika Credit Capital Limited,N0,10000.0,10000.0,1,11.5,18-MAY-2026,,14-MAY-2031,,,,,INE04HY07401
ESAF Small Finance Bank Limited,N0,100000.0,100000.0,1,11.65,28-JAN-2026,,23-FEB-2032,,,,,INE818W08164
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.6,24-JUN-2025,,20-DEC-2026,,,,,INE04HY07260
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.6,25-AUG-2025,,21-FEB-2027,,,,,INE04HY07310
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.6,09-OCT-2025,,07-APR-2027,,,,,INE04HY07328
IFL Finance Limited,N0,10000.0,10000.0,1,11.75,01-FEB-2026,,29-JAN-2028,,,,,INE01XO07033
IFL Finance Limited,N0,10000.0,10000.0,1,11.75,21-MAY-2026,,18-MAY-2028,,,,,INE01XO07066
IFL Finance Limited,N0,10000.0,10000.0,1,11.8,02-MAR-2026,,26-FEB-2028,,,,,INE01XO07041
IFL Finance Limited,N0,10000.0,10000.0,1,11.8,16-MAR-2026,,12-MAR-2028,,,,,INE01XO07058
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.8,17-OCT-2024,,14-OCT-2026,,,,,INE04HY07187
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.8,24-JUN-2025,,20-JUN-2027,,,,,INE04HY07245
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.8,25-AUG-2025,,21-AUG-2027,,,,,INE04HY07302
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.8,09-OCT-2025,,07-OCT-2027,,,,,INE04HY07336
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.9,28-JUN-2024,,25-JUN-2026,,,,,INE04HY07120
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.9,16-AUG-2024,,12-AUG-2026,,,,,INE04HY07146
Master Capital Services Limited,N0,10000.0,10000.0,1,11.0,08-MAY-2026,,05-AUG-2027,,,,,INE2UHF07015
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,11.0,01-DEC-2025,,27-MAY-2027,,,,,INE04HY07369
Demuric Holdings Private Limited,N0,100000.0,100000.0,1,12.15,26-AUG-2025,,22-AUG-2027,,,,,INE835I08019
Dar Credit & Capital Limited,N0,100000.0,100000.0,1,12.25,16-DEC-2025,,10-DEC-2027,,,,,INE04Q907108
Ifl Finance Limited (Formerly Known As Ifl Housing Finance Limited),N0,7500.0,7500.0,1,12.25,24-NOV-2025,,18-NOV-2027,,,,,INE01XO07017
IFL Finance Limited,N0,8750.0,8750.0,1,12.25,21-JAN-2026,,16-JAN-2028,,,,,INE01XO07025
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.5,07-JAN-2026,,05-DEC-2031,,,,,INE04HY08011
Dar Credit & Capital Limited,N0,10000.0,10000.0,1,12.75,06-APR-2026,,30-SEP-2028,,,,,INE04Q907181
Akme Fintrade (India) Limited,N0,10000.0,10000.0,1,12.0,26-AUG-2025,,22-AUG-2027,,,,,INE916Y07032
Akme Fintrade (India) Limited,N0,10000.0,10000.0,1,12.0,17-SEP-2025,,15-SEP-2027,,,,,INE916Y07040
Akme Fintrade (India) Limited,N0,10000.0,10000.0,1,12.0,20-OCT-2025,,16-APR-2028,,,,,INE916Y07057
Dar Credit & Capital Limited,N0,100000.0,100000.0,1,12.0,23-SEP-2025,,19-MAR-2027,,,,,INE04Q907090
Dar Credit & Capital Limited,N0,100000.0,100000.0,1,12.0,05-FEB-2026,,03-FEB-2029,,,,,INE04Q907165
Dar Credit & Capital Limited,N0,100000.0,100000.0,1,12.0,05-FEB-2026,,03-FEB-2029,,,,,INE04Q907157
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,26-SEP-2024,,23-MAR-2027,,,,,INE04HY07161
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,17-OCT-2024,,14-APR-2027,,,,,INE04HY07179
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,25-FEB-2025,,21-AUG-2027,,,,,INE04HY07211
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,24-JUN-2025,,20-DEC-2027,,,,,INE04HY07252
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,20-OCT-2025,,16-OCT-2028,,,,,INE04HY07344
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,26-SEP-2024,,23-SEP-2029,,,,,INE04HY07153
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,30-JAN-2025,,28-JAN-2029,,,,,INE04HY07203
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,08-APR-2025,,04-APR-2029,,,,,INE04HY07229
Vedika Credit Capital Limited,N0,100000.0,100000.0,1,12.0,25-JUL-2025,,23-JUL-2029,,,,,INE04HY07278
Viviana Power Tech Limited,N0,10000.0,10000.0,1,12.0,26-MAY-2026,,21-MAY-2028,,,,,INE0MEG07029
Dar Credit & Capital Limited,N0,100000.0,100000.0,1,13.0,30-MAR-2026,,24-MAR-2029,,,,,INE04Q907173
Dar Credit & Capital Limited,N0,100000.0,100000.0,1,14.0,05-FEB-2026,,03-FEB-2031,,,,,INE04Q907116
Dar Credit & Capital Limited,N0,100000.0,100000.0,1,14.0,05-FEB-2026,,03-FEB-2031,,,,,INE04Q907124
Rare Asset Reconstruction Limited,N0,100000.0,100000.0,1,14.0,25-MAR-2025,,20-MAR-2030,,,,,INE03UZ07023
Rare Asset Reconstruction Limited,N0,62500.0,62500.0,1,16.5,05-AUG-2024,,31-JUL-2027,,,,,INE03UZ07015
Rare Asset Reconstruction Limited,N0,100000.0,100000.0,1,16.5,13-OCT-2025,,30-JUN-2028,,,,,INE03UZ07031
Government of India,TB,100.0,100.0,100,,06-MAR-2026,,03-SEP-2026,,,,,IN002025Y487
Government of India,TB,100.0,100.0,100,,05-DEC-2025,,04-JUN-2026,,,,,IN002025Y362
Government of India,TB,100.0,100.0,100,,08-MAY-2026,,05-NOV-2026,,,,,IN002026Y055
Government of India,TB,100.0,100.0,100,,06-FEB-2026,,06-AUG-2026,,,,,IN002025Y446
Government of India,TB,100.0,100.0,100,,10-APR-2026,,08-OCT-2026,,,,,IN002026Y014
Government of India,TB,100.0,100.0,100,,09-JAN-2026,,09-JUL-2026,,,,,IN002025Y404
Government of India,TB,100.0,100.0,100,,13-MAR-2026,,10-SEP-2026,,,,,IN002025Y495
Government of India,TB,100.0,100.0,100,,12-DEC-2025,,11-JUN-2026,,,,,IN002025Y370
Government of India,TB,100.0,100.0,100,,15-MAY-2026,,12-NOV-2026,,,,,IN002026Y063
Government of India,TB,100.0,100.0,100,,13-FEB-2026,,13-AUG-2026,,,,,IN002025Y453
Government of India,TB,100.0,100.0,100,,17-APR-2026,,15-OCT-2026,,,,,IN002026Y022
Government of India,TB,100.0,100.0,100,,19-JAN-2026,,17-JUL-2026,,,,,IN002025Y412
Government of India,TB,100.0,100.0,100,,19-DEC-2025,,18-JUN-2026,,,,,IN002025Y388
Government of India,TB,100.0,100.0,100,,20-MAR-2026,,18-SEP-2026,,,,,IN002025Y503
Government of India,TB,100.0,100.0,100,,22-MAY-2026,,19-NOV-2026,,,,,IN002026Y071
Government of India,TB,100.0,100.0,100,,20-FEB-2026,,21-AUG-2026,,,,,IN002025Y461
Government of India,TB,100.0,100.0,100,,24-APR-2026,,22-OCT-2026,,,,,IN002026Y030
Government of India,TB,100.0,100.0,100,,23-JAN-2026,,23-JUL-2026,,,,,IN002025Y420
Government of India,TB,100.0,100.0,100,,29-DEC-2025,,26-JUN-2026,,,,,IN002025Y396
Government of India,TB,100.0,100.0,100,,27-FEB-2026,,27-AUG-2026,,,,,IN002025Y479
Government of India,TB,100.0,100.0,100,,04-MAY-2026,,29-OCT-2026,,,,,IN002026Y048
Government of India,TB,100.0,100.0,100,,30-JAN-2026,,30-JUL-2026,,,,,IN002025Y438
Magnum Ventures Limited,N0,26717.39,26717.39,1,18.0,15-MAR-2024,,31-AUG-2027,,,,,INE387I07013
PVP Ventures Limited,N0,100000.0,100000.0,1,18.0,17-APR-2025,,31-MAR-2029,,,,,INE362A07054
PVP Ventures Limited,N0,100000.0,100000.0,1,18.0,17-APR-2025,,31-MAR-2029,,,,,INE362A07047
Government of India,TB,100.0,100.0,100,,04-JUL-2025,,02-JUL-2026,,,,,IN002025Z146
Government of India,TB,100.0,100.0,100,,06-OCT-2025,,02-OCT-2026,,,,,IN002025Z278
Government of India,TB,100.0,100.0,100,,05-SEP-2025,,03-SEP-2026,,,,,IN002025Z237
Government of India,TB,100.0,100.0,100,,05-DEC-2025,,03-DEC-2026,,,,,IN002025Z369
Government of India,TB,100.0,100.0,100,,06-FEB-2026,,04-FEB-2027,,,,,IN002025Z443
Government of India,TB,100.0,100.0,100,,06-MAR-2026,,04-MAR-2027,,,,,IN002025Z484
Government of India,TB,100.0,100.0,100,,06-JUN-2025,,04-JUN-2026,,,,,IN002025Z104
Government of India,TB,100.0,100.0,100,,08-MAY-2026,,06-MAY-2027,,,,,IN002026Z052
Government of India,TB,100.0,100.0,100,,08-AUG-2025,,06-AUG-2026,,,,,IN002025Z195
Government of India,TB,100.0,100.0,100,,10-NOV-2025,,06-NOV-2026,,,,,IN002025Z328
Government of India,TB,100.0,100.0,100,,09-JAN-2026,,07-JAN-2027,,,,,IN002025Z401
Government of India,TB,100.0,100.0,100,,10-APR-2026,,08-APR-2027,,,,,IN002026Z011
Government of India,TB,100.0,100.0,100,,10-OCT-2025,,08-OCT-2026,,,,,IN002025Z286
Government of India,TB,100.0,100.0,100,,11-JUL-2025,,09-JUL-2026,,,,,IN002025Z153
Government of India,TB,100.0,100.0,100,,12-SEP-2025,,10-SEP-2026,,,,,IN002025Z245
Government of India,TB,100.0,100.0,100,,12-DEC-2025,,10-DEC-2026,,,,,IN002025Z377
Government of India,TB,100.0,100.0,100,,13-FEB-2026,,11-FEB-2027,,,,,IN002025Z450
Government of India,TB,100.0,100.0,100,,13-MAR-2026,,11-MAR-2027,,,,,IN002025Z492
Government of India,TB,100.0,100.0,100,,13-JUN-2025,,11-JUN-2026,,,,,IN002025Z112
Government of India,TB,100.0,100.0,100,,14-NOV-2025,,12-NOV-2026,,,,,IN002025Z336
Government of India,TB,100.0,100.0,100,,15-MAY-2026,,13-MAY-2027,,,,,IN002026Z060
Government of India,TB,100.0,100.0,100,,18-AUG-2025,,13-AUG-2026,,,,,IN002025Z203
Government of India,TB,100.0,100.0,100,,19-JAN-2026,,15-JAN-2027,,,,,IN002025Z419
Government of India,TB,100.0,100.0,100,,17-APR-2026,,15-APR-2027,,,,,IN002026Z029
Government of India,TB,100.0,100.0,100,,17-OCT-2025,,15-OCT-2026,,,,,IN002025Z294
Government of India,TB,100.0,100.0,100,,18-JUL-2025,,16-JUL-2026,,,,,IN002025Z161
Government of India,TB,100.0,100.0,100,,19-SEP-2025,,17-SEP-2026,,,,,IN002025Z252
Government of India,TB,100.0,100.0,100,,19-DEC-2025,,17-DEC-2026,,,,,IN002025Z385
Government of India,TB,100.0,100.0,100,,20-JUN-2025,,18-JUN-2026,,,,,IN002025Z120
Government of India,TB,100.0,100.0,100,,20-FEB-2026,,19-FEB-2027,,,,,IN002025Z468
Government of India,TB,100.0,100.0,100,,20-MAR-2026,,19-MAR-2027,,,,,IN002025Z500
Government of India,TB,100.0,100.0,100,,21-NOV-2025,,19-NOV-2026,,,,,IN002025Z344
Government of India,TB,100.0,100.0,100,,22-MAY-2026,,20-MAY-2027,,,,,IN002026Z078
Government of India,TB,100.0,100.0,100,,22-AUG-2025,,20-AUG-2026,,,,,IN002025Z211
Government of India,TB,100.0,100.0,100,,23-JAN-2026,,21-JAN-2027,,,,,IN002025Z427
Government of India,TB,100.0,100.0,100,,24-APR-2026,,22-APR-2027,,,,,IN002026Z037
Government of India,TB,100.0,100.0,100,,25-JUL-2025,,23-JUL-2026,,,,,IN002025Z179
Government of India,TB,100.0,100.0,100,,27-OCT-2025,,23-OCT-2026,,,,,IN002025Z302
Government of India,TB,100.0,100.0,100,,26-SEP-2025,,24-SEP-2026,,,,,IN002025Z260
Government of India,TB,100.0,100.0,100,,27-FEB-2026,,25-FEB-2027,,,,,IN002025Z476
Government of India,TB,100.0,100.0,100,,27-JUN-2025,,25-JUN-2026,,,,,IN002025Z138
Government of India,TB,100.0,100.0,100,,29-DEC-2025,,25-DEC-2026,,,,,IN002025Z393
Government of India,TB,100.0,100.0,100,,28-NOV-2025,,26-NOV-2026,,,,,IN002025Z351
Government of India,TB,100.0,100.0,100,,30-JAN-2026,,28-JAN-2027,,,,,IN002025Z435
Government of India,TB,100.0,100.0,100,,01-SEP-2025,,28-AUG-2026,,,,,IN002025Z229
Government of India,TB,100.0,100.0,100,,04-MAY-2026,,29-APR-2027,,,,,IN002026Z045
Government of India,TB,100.0,100.0,100,,31-OCT-2025,,29-OCT-2026,,,,,IN002025Z310
Government of India,TB,100.0,100.0,100,,01-AUG-2025,,30-JUL-2026,,,,,IN002025Z187
Government of India,GS,100.0,100.0,1,5.74,16-NOV-2021,,15-NOV-2026,,,,,IN0020210186
Puducherry - Union Territory,SG,100.0,100.0,100,5.75,30-OCT-2020,,28-OCT-2026,,,,,IN3820200035
Government of India,GS,100.0,100.0,1,5.77,04-AUG-2020,,03-AUG-2030,,,,,IN0020200153
Government of India,GS,100.0,100.0,1,5.79,12-MAY-2020,,11-MAY-2030,,,,,IN0020200070
Karnataka State,SG,100.0,100.0,100,5.7,27-JUL-2020,,15-JUL-2026,,,,,IN1920200079
Rajasthan State,SG,100.0,100.0,100,5.82,08-JAN-2021,,06-JAN-2027,,,,,IN2920200556
Government of India,GS,100.0,100.0,1,5.85,02-DEC-2020,,01-DEC-2030,,,,,IN0020200294
Chattisgarh State,SG,100.0,100.0,100,5.88,01-JAN-2021,,30-DEC-2026,,,,,IN3520200087
Government of India,GS,100.0,100.0,1,5.91,02-JUL-2025,,30-JUN-2028,,,,,IN0020250034
Chattisgarh State,SG,100.0,100.0,100,5.93,11-DEC-2020,,09-DEC-2026,,,,,IN3520200079
Puducherry - Union Territory,SG,100.0,100.0,100,5.96,01-OCT-2021,,29-SEP-2026,,,,,IN3820210018
Chattisgarh State,SG,100.0,100.0,100,5.97,15-JAN-2021,,13-JAN-2027,,,,,IN3520200095
Madhya Pradesh State,SG,100.0,100.0,100,5.99,03-SEP-2021,,01-SEP-2026,,,,,IN2120210025
Government of India,GS,100.0,100.0,1,6.01,23-JUL-2025,,21-JUL-2030,,,,,IN0020250067
Rajasthan State,SG,100.0,100.0,100,6.01,08-OCT-2021,,06-OCT-2026,,,,,IN2920210316
Government of India,GS,100.0,100.0,1,6.03,29-JAN-2026,,27-JAN-2029,,,,,IN0020250125
Assam State,SG,100.0,100.0,100,6.04,10-DEC-2021,,08-DEC-2026,,,,,IN1220210158
Gujarat State,SG,100.0,100.0,100,6.04,22-OCT-2021,,20-OCT-2026,,,,,IN1520210130
Rajasthan State,SG,100.0,100.0,100,6.05,18-JUN-2021,,16-JUN-2026,,,,,IN2920210142
